Statystyka ogólna w podziale na województwa;;;;;;
;;;;;;
;2022;;;;;
Województwo;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji;;
WOJ. DOLNOŒL¥SKIE;1869;138;2201;33699;;
WOJ. KUJAWSKO-POMORSKIE;770;103;857;21681;;
WOJ. LUBELSKIE;785;121;815;17142;;
WOJ. LUBUSKIE;499;63;580;9900;;
WOJ. £ÓDZKIE;2209;164;2633;23220;;
WOJ. MA£OPOLSKIE;2226;102;2615;26792;;
WOJ. MAZOWIECKIE;2896;289;3398;55490;;
WOJ. OPOLSKIE;438;64;513;9278;;
WOJ. PODKARPACKIE;1062;88;1264;14767;;
WOJ. PODLASKIE;333;69;360;11080;;
WOJ. POMORSKIE;1592;100;1945;22084;;
WOJ. ŒL¥SKIE;1984;155;2263;47139;;
WOJ. ŒWIÊTOKRZYSKIE;649;67;761;10706;;
WOJ. WARMIÑSKO-MAZURSKIE;830;84;928;13317;;
WOJ. WIELKOPOLSKIE;2299;214;2617;29182;;
WOJ. ZACHODNIOPOMORSKIE;881;75;993;16789;;
Podsumowanie ;21322;1896;24743;362266;;
;;;;;;
;;;;;;
